p,U:0,U:1,U:2,IntegrationTime,Vorticity:0,Vorticity:1,Vorticity:2,Rotation,AngularVelocity,Normals:0,Normals:1,Normals:2,Points:0,Points:1,Points:2,Point ID
1053.66,0.00181355,0.00382813,0,1301.26,0,0,-0.0330545,-1.64424e-17,0,5.71923e-08,-2.69416e-08,-1,-1.00173,-3.38192,0.5,71
1053.69,0.00224243,0.00419614,0,1311.59,0,0,-0.0337482,-1.64424e-17,0,5.57934e-08,-2.97305e-08,-1,-0.981983,-3.3429,0.5,72
1053.73,0.00263248,0.00452227,0,1323.12,0,0,-0.034492,-1.64424e-17,0,5.45541e-08,-3.19476e-08,-1,-0.955159,-3.29502,0.5,73
1053.77,0.00315782,0.00492995,0,1335.32,0,0,-0.0397345,-1.64424e-17,0,5.33432e-08,-3.39308e-08,-1,-0.921878,-3.2406,0.5,74
1053.82,0.00355041,0.00523005,0,1345.85,0,0,-0.0405026,-1.64424e-17,0,5.24114e-08,-3.53532e-08,-1,-0.887871,-3.18917,0.5,75
1053.86,0.00370668,0.00532277,0,1352.57,0,0,-0.0409825,-1.64424e-17,0,5.1791e-08,-3.62559e-08,-1,-0.863781,-3.15416,0.5,76
1053.9,0.00391554,0.00538069,0,1360.53,0,0,-0.045325,-1.64424e-17,0,5.11786e-08,-3.71154e-08,-1,-0.833822,-3.11209,0.5,77
1053.96,0.00417861,0.00558822,0,1369.33,0,0,-0.0460454,-1.64424e-17,0,5.06707e-08,-3.78059e-08,-1,-0.799036,-3.06498,0.5,78
1054.01,0.00425638,0.00560823,0,1376.81,0,0,-0.0466499,-1.64424e-17,0,5.01973e-08,-3.84322e-08,-1,-0.767626,-3.02331,0.5,79
1054.08,0.00434157,0.0054542,0,1386.79,0,0,-0.045824,-1.64424e-17,0,4.94935e-08,-3.93344e-08,-1,-0.724502,-2.96785,0.5,80
1054.15,0.00421883,0.00513269,0,1396.33,0,0,-0.0495895,-1.64424e-17,0,5.01806e-08,-4.12402e-08,-1,-0.682559,-2.91621,0.5,81
1054.24,0.00412328,0.00487536,0,1408.93,0,0,-0.0476825,-1.64424e-17,0,5.08535e-08,-4.30675e-08,-1,-0.62904,-2.85185,0.5,82
